1,https://www.ebay.com/itm/Toshiba-43-Inch-4K-Ultra-HD-Smart-LED-TV-with-HDR-Fire-Edition/132869717272?epid=27020153384&hash=item1eefa6fd18:g:uvAAAOSwtgZb~W6O,Toshiba 43-Inch 4K Ultra HD Smart LED TV with HDR-Fire Edition,$324.99,5.0,6
2,https://www.ebay.com/itm/Samsung-Electronics-UN32M4500A-32-Inch-720p-Smart-LED-TV-2017-Model/233014485721?hash=item3640bee2d9:g:dHUAAOSw4c5b9O--,Samsung Electronics UN32M4500A 32-Inch 720p Smart LED TV (2017 Model)...,$234.69,,
3,https://www.ebay.com/itm/TCL-55S517-55-Inch-4K-Ultra-HD-Roku-Smart-LED-TV-2018-Model/273571134314?epid=21020214574&hash=item3fb21c3b6a:g:8doAAOSw175b9IcJ,TCL 55S517 55-Inch 4K Ultra HD Roku Smart LED TV 2018 Model,"$1,809.36",4.5,2
4,,,,,
5,https://www.ebay.com/itm/Nokia-3-1-Android-One-Oreo-16-GB-Dual-SIM-Unlocked-Smartphone-AT-T-T-Mob/233001355188?hash=item363ff687b4:g:YSIAAOSwAE9b5~nV,Nokia 3.1- Android One Oreo - 16 GB - Dual SIM Unlocked Smartphone AT&T/T-Mob...,$168.53,,
6,https://www.ebay.com/itm/Apple-iPhone-7-32GB-Unlocked-Black-US-Version-NEW/123326387598?epid=232669172&hash=item1cb6d3558e:g:55MAAOSwQFZbmXSK,"Apple iPhone 7 32GB Unlocked, Black US Version ""NEW""",$489.99,4.5,160
7,https://www.ebay.com/itm/NEW-Microsoft-Surface-Pro-6-Intel-Core-i5-8250U-8GB-RAM-256GB-Newest-Version/113384309515?epid=7026120745&hash=item1a663b430b:g:~ocAAOSwkHFb8xUe,NEW Microsoft Surface Pro 6 Intel Core i5-8250U 8GB RAM 256GB Newest Version,"$1,100.00",,
8,,,,,
9,https://www.ebay.com/itm/Dell-G5-Gaming-Laptop-15-6-Full-HD-Intel-Core-i7-8750H-NVIDIA-GeForce-GTX-Ti/123492517530?epid=8020383890&hash=item1cc0ba469a:g:pjAAAOSw29Jb7ir7," Dell G5 Gaming Laptop 15.6' Full HD, Intel Core i7-8750H, NVIDIA GeForce GTX Ti","$1,007.60",,
10,,,,,
11,,,,,
12,https://www.ebay.com/itm/Honeywell-Digital-Ceramic-Tower-Heater-w-Motion-Sensor-Black-HCE323V/183544673586?epid=2255301990&hash=item2abc1d7532,SPONSOREDHoneywell Digital Ceramic Tower Heater w/Motion Sensor Black HCE323V,$114.07,5.0,1
